cod;empresa;setor;subsetor;segmento;segmento B3
RRRP;3R PETROLEUM;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;NM             
CSAN;COSAN       ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;NM             
DMMO;DOMMO;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
ENAT;ENAUTA PART;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;NM             
RPMG;PET MANGUINH;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;
PETR;PETROBRAS   ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;N2
BRDT;PETROBRAS BR;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;NM             
RECV;PETRORECSA ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;NM             
PRIO;PETRORIO;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;NM             
UGPA;ULTRAPAR    ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;NM             
LUPA;LUPATECH    ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;NM             
OPCT;OCEANPACT;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;NM             
OSXB;OSX BRASIL  ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;NM             
BRAP;BRADESPAR   ;Materiais Básicos;Mineração;Minerais Metálicos;N1             
CMIN;CSNMINERACAO;Materiais Básicos;Mineração;Minerais Metálicos;N2            
LTEL;LITEL       ;Materiais Básicos;Mineração;Minerais Metálicos;MB             
LTLA;LITELA;Materiais Básicos;Mineração;Minerais Metálicos;MB             
MMXM;MMX MINER   ;Materiais Básicos;Mineração;Minerais Metálicos;NM             
VALE;VALE        ;Materiais Básicos;Mineração;Minerais Metálicos;NM             
FESA;FERBASA     ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;N1             
GGBR;GERDAU      ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;N1             
GOAU;GERDAU MET  ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;N1             
CSNA;SID NACIONAL;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;
USIM;USIMINAS    ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;N1             
MGEL;MANGELS INDL;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;
PATI;PANATLANTICA;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;
TKNO;TEKNO       ;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;
PMAM;PARANAPANEMA;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Cobre;NM             
BRKM;BRASKEM     ;Materiais Básicos;Químicos;Petroquímicos;N1             
GPCP;GPC PART    ;Materiais Básicos;Químicos;Petroquímicos;
FHER;FER HERINGER;Materiais Básicos;Químicos;Fertilizantes e Defensivos;NM             
NUTR;NUTRIPLANT  ;Materiais Básicos;Químicos;Fertilizantes e Defensivos;MA             
CRPG;CRISTAL;Materiais Básicos;Químicos;Químicos Diversos;
UNIP;UNIPAR      ;Materiais Básicos;Químicos;Químicos Diversos;
DTEX;DURATEX     ;Materiais Básicos;Madeira e Papel;Madeira;NM             
EUCA;EUCATEX     ;Materiais Básicos;Madeira e Papel;Madeira;N1             
RANI;IRANI ;Materiais Básicos;Madeira e Papel;Papel e Celulose;
KLBN;KLABIN S/A  ;Materiais Básicos;Madeira e Papel;Papel e Celulose;N2
MSPA;MELHOR SP   ;Materiais Básicos;Madeira e Papel;Papel e Celulose;
NEMO;SUZANO HOLD ;Materiais Básicos;Madeira e Papel;Papel e Celulose;
SUZB;SUZANO S.A.;Materiais Básicos;Madeira e Papel;Papel e Celulose;NM             
MTIG;METAL IGUACU;Materiais Básicos;Embalagens;Embalagens;
SNSY;SANSUY      ;Materiais Básicos;Materiais Diversos;Materiais Diversos;
ETER;ETERNIT     ;Bens Industriais;Construção e Engenharia;Materiais Diversos;NM             
HAGA;HAGA S/A    ;Bens Industriais;Construção e Engenharia;Materiais Diversos;
PTBL;PORTOBELLO  ;Bens Industriais;Construção e Engenharia;Materiais Diversos;NM             
AZEV;AZEVEDO     ;Bens Industriais;Construção e Engenharia;Construção Pesada;
SOND;SONDOTECNICA;Bens Industriais;Construção e Engenharia;Engenharia Consultiva;
TCNO;TECNOSOLO   ;Bens Industriais;Construção e Engenharia;Engenharia Consultiva;
MILS;MILLS       ;Bens Industriais;Construção e Engenharia;Serviços Diversos;NM             
EMBR;EMBRAER     ;Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa;NM             
FRAS;FRAS-LE     ;Bens Industriais;Material de Transporte;Material Rodoviário;N1             
POMO;MARCOPOLO   ;Bens Industriais;Material de Transporte;Material Rodoviário;N2             
RAPT;RANDON PART ;Bens Industriais;Material de Transporte;Material Rodoviário;N1             
RCSL;RECRUSUL    ;Bens Industriais;Material de Transporte;Material Rodoviário;
RSUL;RIOSULENSE  ;Bens Industriais;Material de Transporte;Material Rodoviário;
TUPY;TUPY        ;Bens Industriais;Material de Transporte;Material Rodoviário;NM             
MWET;WETZEL S/A  ;Bens Industriais;Material de Transporte;Material Rodoviário;
SHUL;SCHULZ      ;Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros;
WEGE;WEG         ;Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros;NM             
EALT;ACO ALTONA  ;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
AERI;AERIS;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;NM             
BDLL;BARDELLA    ;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
ROMI;INDS ROMI   ;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;NM             
INEP;INEPAR      ;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
KEPL;KEPLER WEBER;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;
FRIO;METALFRIO   ;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;NM             
